# benders_position_y_set	index0_set	index1_set	daq_ai_voltage
# "y position"	"index0"	"index1"	"Voltage"
# 50	4	50
-1.43877551020408	2	31	0.00740870628429874
-1.43877551020408	2	32	0.00745261485605936
-1.43877551020408	2	33	0.00743490978680105
-1.43877551020408	2	34	0.00743278517849198
-1.43877551020408	2	35	0.00743825765444322
-1.43877551020408	2	36	0.00739415593647602
-1.43877551020408	2	37	0.00744250687106414
-1.43877551020408	2	38	0.00743761383374376
-1.43877551020408	2	39	0.0074099295436291
-1.43877551020408	2	40	0.00743059618810846
-1.43877551020408	2	41	0.00744141237587846
-1.43877551020408	2	42	0.00785365077035744
-1.43877551020408	2	43	0.00784412222398618
-1.43877551020408	2	44	0.00785010975650357
-1.43877551020408	2	45	0.00787695707971766
-1.43877551020408	2	46	0.00783761963491103
-1.43877551020408	2	47	0.00768496974684691
-1.43877551020408	2	48	0.00765870186226624
-1.43877551020408	2	49	0.00771844842326797

-1.43877551020408	3	0	-0.391203195763149
-1.43877551020408	3	1	-0.385203237627516
-1.43877551020408	3	2	-0.37922883920299
-1.43877551020408	3	3	-0.373231520790951
-1.43877551020408	3	4	-0.367222291724344
-1.43877551020408	3	5	-0.361229673258197
-1.43877551020408	3	6	-0.355240209539334
-1.43877551020408	3	7	-0.349233942125983
-1.43877551020408	3	8	-0.343239199126664
-1.43877551020408	3	9	-0.337252310762534
-1.43877551020408	3	10	-0.33125550758223
-1.43877551020408	3	11	-0.325269198699802
-1.43877551020408	3	12	-0.319275550281979
-1.43877551020408	3	13	-0.313265033782142
-1.43877551020408	3	14	-0.307264818431056
-1.43877551020408	3	15	-0.301268272874934
-1.43877551020408	3	16	-0.295293939147466
-1.43877551020408	3	17	-0.289285354176705
-1.43877551020408	3	18	-0.283281791021349
-1.43877551020408	3	19	-0.277280610015723
-1.43877551020408	3	20	-0.271295073864152
-1.43877551020408	3	21	-0.265290351868744
-1.43877551020408	3	22	-0.259290007864133
-1.43877551020408	3	23	-0.253317476920665
-1.43877551020408	3	24	-0.247290285613244
-1.43877551020408	3	25	-0.241289684105785
-1.43877551020408	3	26	-0.235313612171166
-1.43877551020408	3	27	-0.229300906847744
-1.43877551020408	3	28	-0.223309640756134
-1.43877551020408	3	29	-0.217313224102999
-1.43877551020408	3	30	-0.211321507343129
-1.43877551020408	3	31	-0.2053317220468
-1.43877551020408	3	32	-0.199300474702112
-1.43877551020408	3	33	-0.193321698739018
-1.43877551020408	3	34	-0.187321869839805
-1.43877551020408	3	35	-0.181314894529245
-1.43877551020408	3	36	-0.175332706309996
-1.43877551020408	3	37	-0.169324829643074
-1.43877551020408	3	38	-0.163322940502883
-1.43877551020408	3	39	-0.157312617306143
-1.43877551020408	3	40	-0.151345816377516
-1.43877551020408	3	41	-0.1453441203621
-1.43877551020408	3	42	-0.139333668376836
-1.43877551020408	3	43	-0.133355278649513
-1.43877551020408	3	44	-0.127350878557163
-1.43877551020408	3	45	-0.121325618663819
-1.43877551020408	3	46	-0.115345104292404
-1.43877551020408	3	47	-0.10934385888217
-1.43877551020408	3	48	-0.103345188739573
-1.43877551020408	3	49	-0.0973476774582393


-1.37755102040816	0	0	-1.47449619121792
-1.37755102040816	0	1	-1.41429463086622
-1.37755102040816	0	2	-1.35401003728467
-1.37755102040816	0	3	-1.29376570153246
